,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,SUM  Completed,Labs,Lab Size,nPublications,Other Journals,University,Career Duration,Degree Area,degree,Latitude,Longitude,UndergradStudentCount,ranking,students staff ratio,perc intl students,near_city,crime_index,safety_index
139,"Chao-Bin Yeh, Ming-Ju Hsieh, Yih-Shou Hsieh, Ming-Hsien Chien, Pen-Yuan Lin, Hui-Ling Chiou, and Shun-Fa Yang",S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,"Environmental Microbiology (2012) 14(8), 1982ï¿½1994",10.1073/pnas.1101273108,2009,,,,,,overlapping microscopy images,1,9/28/2016,,1.0,,1,,,0 0 0 1 0 0 0 0  , ,Tufts University School of Medicine,7,School of Life Sciences,"MD, PhD",,,,,,,"Seoul, South Korea",45.3,54.7
140,"Noritoshi Kitamoto, Takayuki Kobayashi, Yoji Kato, Nobutaka Wakamiya, Kazuyoshi Ikuta, Tomoyuki Tanaka, Shigeharu Ueda, Hiroyuki Miyamoto, and Shiro Kato","Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection","INTERNATIONAL JOURNAL OF ONCOLOGY 42: 1113-1119, 2013",10.1016/j.cyto.2007.01.002,2013,,,,,,Multiple cases of shifted or duplicated blot panels,1,1/12/2016,,,,1,,0.0, 1   ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE ,Thammasat University (Rangsit Campus),8,"Department of Cytokinetics, Institute of Biophysics",,41.507419,,19908.0,,16.1,,"Winnipeg, Canada",64.07,85.68
141,"Haitao Wei, Song Wang, Qinghuang Chen, Yuhai Chen, Xiaojuan Chi, Lianfeng Zhang, Shile Huang, George F. Gao, Ji-Long Chen",Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet,"Breast Cancer Research 2013, 15:R49",10.3892/ijo.2013.1809,2013,02February,,1.0,1.0,,Duplicated microscopy images,1,,,1.0,,1,,,0 1 0 1  ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS Genetics  ,Pamukkale University,7,Department of Biochemistry and Molecular Biology,,,,,,,,"Seoul, South Korea",73.85,74.93
142,"Yang Liu, Yuanyuan Liu, Chao Sun, Lu Gan, Luwei Zhang, Aihong Mao, Yuting Du, Rong Zhou, Hong Zhang",TNF-a down-regulates the NaCeKC ATPase and the Na+-K+-2Cl- cotransporter in the rat colon via PGE2,"Environmental Microbiology (2012) 14(10), 2788ï¿½2799",10.1128/IAI.01008-13,2014,,,,1.0,,2 adjacent lanes in same panel look very similar when one is stretched (multiplecases),1,4/22/2015,,,1.0,1,"Department of Nephrology, University of California, San Francisco, San Francisco, California, United States of America",,4 0 0 0 7  ,PLOS ONE  ,IRCCS Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (I.R.S.T.),14,Indian Veterinary Research Institute,PhD,,,,,,,"Incheon, South Korea",41.12,69.08
143,"Jean-Philippe Lavigne, He_lï¿½ne Marchandin, Nicole Bouziges, and Albert SottoS",Two Functional Type VI Secretion Systems in Avian Pathogenic Escherichia coli Are Involved in Different Pathogenic Pathways,Cytokine 60 (2012) 360ï¿½368,10.1038/onc.2013.237,2012,,,,,,Mirrored blot panels representing different proteins,1,12/2/2012,,1.0,1.0,1,,5.0,1 0 5 0 50 0 2 11 2 1 0 0  ,PLOS ONE PLOS ONE PLOS Biology PLOS ONE PLOS ONE PLOS ONE PLOS Genetics PLOS ONE ,The Fourth Military Medical University,8,Laboratoire Universitaire d'Antibiologie,PhD,,,,,,,"Charlotte, NC, United States",73.85,64.48
144,"Li Han, Yafeng Wang, Xiaojuan Guo, Yubing Zhou, Jingmin Zhang, Ning Wang, Jinhua Jiang, Fang Ma, and Qingduan Wang",Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii,Cytokine 60 (2012) 718ï¿½730,10.1128/IAI.06295-11,2009,mBio,1.0,1.0,1.0,,Duplicated blot,1,9/16/2016,,,1.0,1,"Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany",5.0,0 0 0 0   0   ,PLOS ONE PLOS Medicine PLOS Neglected Tropical Diseases PLOS Biology  ,Université Lyon 1,7,"Laboratoire de Gastroentérologie et Nutrition, Faculté de Médecine","MD, MSc",,,,,,,"Beirut, Lebanon",46.55,45.22
145,"Marina S. Savchenko, Alexandr V. Bazhin, Olga N. Shifrina, Sofia A. Demoura, Eugenia A. Kogan, Alexandr G. Chuchalin, Pavel P. Philippov",The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans,Cytokine 36 (2006) 245ï¿½253,10.1371/journal.ppat.1003445,2013,01January,,,1.0,,"Duplicated blot strips, stretched multiple cases",1,10/1/2014,,1.0,,1,,3.0,1 0 11 0 2 1 1 3 ,PLOS ONE PLOS ONE  ,Université René Descartes,9,Department of Nephrology,,,,,300.0,,,"Boston, MA, United States",26.19,54.7
146,"Henry E. Cerny, Douglas G. Rogers, Jeffrey T. Gray, David R. Smith, and Susanne Hinkley","miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells","Environmental Microbiology (2009) 11(5), 1126ï¿½1136",10.1186/bcr3692,2013,IAI,,1.0,1.0,,"Overlapping microscopy images, multiple times",1,,,,,1,,,4 2 7 2  , PLOS Pathogens PLOS ONE PLOS ONE PLOS Neglected Tropical Diseases PLOS Pathogens PLOS ONE PLOS Genetics PLOS Pathogens PLOS ONE  ,Stony Brook University,32,"Department of Neurosurgery, Taichung Veterans General Hospital, Taichung 40705, Taiwan ; Department of Physical Therapy",,,,,,,23%,"Boston, MA, United States",35.52,67.29
147,"Itshak Golan, Shlomo Nedvetzki, Ira Golan, Lora Eshkar-Sebban, David Levartovsky, Ori Elkayam, Dan Caspi, Suhail Aamar, Howard Amital, Alan Rubinow, David Naor",The interaction of butyrate with TNF-alpha during differentiation and apoptosis of colon epithelial cells: role of NF-kappaB activation,"Infection, and Immunity, Feb. 2009, p. 825ï¿½836 Vol. 77, No. 2",10.1016/j.cyto.2011.02.016,2013,,,,1.0,1,"Overlapping blots, two cases",1,7/1/2014,,,,1,,,2 5 2 2 ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE  ,Tufts University School of Medicine,6,Department of Genetics,PhD,,,,258.0,,17%,"Shanghai, China",37.14,70.1
148,"Robert P. Ryan, Jean Lucey, Karen Oï¿½Donovan, Yvonne McCarthy, Liang Yang, Tim Tolker-Nielsen, and J. Maxwell Dow",Multidrug resistance protein MdtM adds to the repertoire of antiporters involved in alkaline pH homeostasis in Escherichia coli,"Environmental Microbiology (2012) 14(10), 2788ï¿½2799",10.1155/2011/507920,2014,,,1.0,1.0,,Duplicated microscopy panels,1,8/18/2014,,,,1,,,3 3 2 2 1 26  ,PLOS ONE PLOS Genetics PLOS Computational Biology PLOS Pathogens PLOS ONE PLOS ONE PLOS Computational Biology  ,Tsinghua University,14,"Laboratory of Lung Biology, Department of Pathobiological Sciences and Center for Experimental Infectious Disease Research",,,,,,,7%,"Tokyo, Japan",63.77,74.23
149,"Yun Sun, Wen-Jiang Zheng, Yong-Hua Hu, Bo-Guang Sun, and Li Sun",Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2,Cytokine 42 (2008) 222ï¿½233,10.1016/j.cyto.2011.06.006,2005,,,,1.0,,"duplicated, and stretched blot",1,,,,,1,"Department of Medicine, Addenbrooke's Hospital, University of Cambridge, Cambridge, United Kingdom",,10 1 0  ,PLOS Pathogens PLOS ONE  ,University of North Carolina at Charlotte,6,"Department of Nephrology, The First Affiliated Hospital",,,,,,,6%,"Brooklyn, NY, United States",73.85,55.44
150,"Baoyi Zhu, Xiaojuan Li, Yuying Zhang, Chunwei Ye, Yu Wang, Songwang Cai, Huaiqiu Huang, Yi Cai, Shuyuan Yeh, Zhenhua Huang, Ruihan Chen, Yiran Tao, and Xingqiao Wen",Multidrug resistance protein MdtM adds to the repertoire of antiporters involved in alkaline pH homeostasis in Escherichia coli,"PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170",10.1128/IAI.05798-11,2013,,,1.0,,1,Overlapping microscopy images,1,10/2/2015,,1.0,,1,"Department of Nephrology, University of California, San Francisco, San Francisco, California, United States of America",4.0,1 1 4 1  3 23 5 5   ,PLOS ONE PLOS ONE PLOS ONE PLOS Pathogens PLOS ONE PLOS ONE PLOS ONE PLOS Genetics PLOS Neglected Tropical Diseases  ,DUKE-NUS Graduate Medical School,5,Department of Biology and Biochemistry and the Centre for Regenerative Medicine,,,,,121.0,,,,33.36,67.25
151,"Meiou Dai, Amal A Al-Odaini, Nade_ge Fils-Aimï¿½, Manuel A Villatoro, Jimin Guo, Ani Arakelian, Shafaat A Rabbani, Suhad Ali, and Jean Jacques Lebrunn",Promoter methylation of RASSF1A modulates the effect of the microtubule-targeting agent docetaxel in breast cancer,"Infection and Immunity 73: Feb. 2003, p. 766ï¿½773",10.1073/pnas.1202214109,2003,,,1.0,,1,"duplicated gel panels, exact duplicate",1,8/8/2016,,1.0,,1,"Instituto de Biología Molecular y Celular de Plantas, Universidad Politécnica de Valencia-C.S.I.C, Ciudad Politécnica de la Innovación, Valencia, Spain",23.0,1 0  ,PLOS Biology  ,Institut National de la Santé et de la Recherche Médicale,18,Department of Biology,,,-117.158168,,,,4%,"Kolkata, India",62.38,36.23
152,"M. Hyzdï¿½alovï¿½, J. Hofmanovï¿½, J. Pachernï¿½k, A. Vaculovï¿½, A. Kozubï¿½keSung",Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Heterologous Vaccine Antigens,"PLOS One, January 2014 | Volume 9 | Issue 1 | e86342",10.1016/j.cyto.2008.06.003,2009,,1.0,,,,Mirrored blot,1,9/28/2016,,1.0,1.0,1,,29.0,0 13 3 0 0 0 0  ,PLOS ONE PLOS ONE PLOS ONE ,China; Key Laboratory of Heavy Ion Radiation Biology and Medicine of Chinese Academy of Sciences,7,"Program in Vector-Borne Diseases, Department of Veterinary Microbiology and Pathology, Paul G. Allen School for Global Animal Health",PhD Biochemistry,,,,319.0,,,"Shanghai, China",,
153,"Sylwia Flis, Agnieszka Gnyszka, Krzysztof Flis",Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate,"Infect. Immun. 2012, 80(8):2948",10.1371/journal.pone.0093995,2014,01January,,1.0,1.0,,"Identical microscopy panels, might be error",1,01/26/2015,,1.0,,1,,,0 0 0  ,PLOS Biology PLOS ONE PLOS Genetics PLOS ONE PLOS Medicine PLOS Computational Biology PLOS Pathogens  ,Hyogo College of Medicine,14,"Division of High-risk Pathogen Research, Center for Infectious Diseases","DVM, PhD",,,,258.0,18.4,,"Moscow, Russia",,69.82
154,"Upal K. Basu Roy, Rebecca S. Henkhaus, Fotios Loupakis, Chiara Cremolini, Eugene W. Gerner, and Natalia A. Ignatenko",Identification of the pollen self-incompatibility determinant in Papaver rhoeas,"PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059",10.1038/onc.2012.182,2012,,,1.0,,,Overlapping microscopy images,1,11/17/2016,,1.0,,1,"Division of Cardio-Vascular Medicine, Department of Internal Medicine, Kurume University School of Medicine, Fukuoka, Japan",6.0,50 0 0 0  ,PLOS ONE PLOS ONE  PLOS ONE PLOS ONE   ,The First Affiliated Hospital of Sun Yat-sen University,10,"Department of Veterinary Biosciences, College of Veterinary Medicine","MD, PhD",,,23638.0,,,,"New Orleans, LA, United States",51.73,50.87
155,"Ping Chen, Liya Huang, Yunwei Sun, Yaozong Yuan",A Neoplastic Gene Fusion Mimics Trans-Splicing of RNAs in Normal Human Cells,"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 467245",10.1128/JCM.41.8.3584-3591.2003,2003,,,1.0,,1,"Duplicated, and shifted GAPDH gel panel",1,11/24/2016,,1.0,,1,"Department of Laboratory Medicine, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China",31.0,3 2 0 9 2 2 2 3 2 2 2 3 0 9 3 2 9 0 3 33 0 4 ,PLOS ONE PLOS Genetics PLOS Computational Biology PLOS ONE PLOS Genetics PLOS Genetics  ,Hung Kuang University,18,"Institute for Global Food Security, School of Biological Sciences, Medical Biology Centre",,,,,,,42%,"Uppsala, Sweden",53.84,
156,"Henry E. Cerny, Douglas G. Rogers, Jeffrey T. Gray, David R. Smith, and Susanne Hinkley",LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles,"Infect. Immun. 2012, 80(8):2920",10.1016/j.jaut.2005.09.016,2012,,,,1.0,1,duplicated microscopy panels,1,,,1.0,1.0,1,"Department of Pharmacology, National Medicines Institute, Warsaw, Poland",10.0,2 0 8 3 50 25 11 ,PLOS ONE PLOS Neglected Tropical Diseases PLOS ONE  ,University of Minnesota,5,Department of Biochemistry and Molecular Biology,MD,,,,,,,"Rosario, Argentina",64.07,
157,"Haitao Wei, Song Wang, Qinghuang Chen, Yuhai Chen, Xiaojuan Chi, Lianfeng Zhang, Shile Huang, George F. Gao, Ji-Long Chen",False-Positive Results in a Recombinant Severe Acute Respiratory Syndrome-Associated Coronavirus (SARS-CoV) Nucleocapsid Enzyme-Linked Immunosorbent Assay Due to HCoV-OC43 and HCoV-229E Rectified by Western Blotting with Recombinant SARS-CoV Spike Polypeptide,"PLOS Genetics, January 23, 2014DOI: 10.1371",10.1002/ijc.28032,2013,IAI,,1.0,1.0,,Duplicated 0h microscopy images,1,11/17/2016,,,,1,"Case Western Reserve University, Center for Global Health and Diseases, Cleveland, Ohio, USA",,0 0 0 0   0   ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE  ,University of North Carolina at Charlotte,16,"Department of Microbiology, BIOMERIT Research Centre, BioSciences Institute","MD, PhD",,,,,4.8,,"Shanghai, China",65.95,69.08
158,"Michael Waters, Deepa Raju, Helen S. Garmory, Michel R. Popoff, and Mahfuzur R. Sarker",Lactobacillus bulgaricus Prevents Intestinal Epithelial Cell Injury Caused by Enterobacter sakazakii-Induced Nitric Oxide both In Vitro and in the Newborn Rat Model of Necrotizing Enterocolitis__,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003845",10.1155/2014/272101,2013,04April,,,,,"duplicated actin blot panels, exact",1,10/1/2015,,1.0,,1,"Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy",8.0,50 21 18 18 2 2 2 38 50 ,PLOS ONE  ,Université de Nice-Sophia Antipolis,12,Université de Lyon,MD,,,,,,,"Minneapolis, MN, United States",65.95,67.14
159,"Sujit K. Bhutia, Swadesh K. Das, Belal Azab, Mitchell E. Menezes, Paul Dent, Xiang-Yang Wang, Devanand Sarkar, and Paul B. Fisher",The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,Journal of Autoimmunity 32 (2009) 85ï¿½93,10.1002/ijc.27730,2008,,,,1.0,,"Duplicated blots, multiple cases",1,10/1/2014,,,1.0,1,,,0 0 1 2 0 0 2 0 9 3 3  ,PLOS ONE PLOS Genetics PLOS Computational Biology PLOS ONE PLOS ONE PLOS ONE PLOS Genetics PLOS Pathogens PLOS ONE PLOS ONE PLOS ONE ,Université de Nice-Sophia Antipolis,25,Department of Microbiology,"DVM, PhD",,,,,,11%,"Santiago, Chile",,85.68
160,"Li Han, Yafeng Wang, Xiaojuan Guo, Yubing Zhou, Jingmin Zhang, Ning Wang, Jinhua Jiang, Fang Ma, and Qingduan Wang",Up-regulation of focal adhesion kinase in non-small cell lung cancer,"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 594906",10.1155/2013/594906,2009,,,,,,Duplicated blot panel,1,,,1.0,1.0,1,,,32 0 1 0  ,PLOS ONE  ,National Cheng-Kung University,7,"Department of Microbiology, The University of Hong Kong","MSc., PhD",,,,,,33%,"Memphis, TN, United States",45.3,65.68
161,"Shiuan Wang, Kai Li Tan, Melina A. Agosto, Bo Xiong, Shinya Yamamoto, Hector Sandoval, Manish Jaiswal, Vafa Bayat, Ke Zhang, Wu-Lin Charng, Gabriela David, Lita Duraine, Kartik Venkatachalam, Theodore G. Wensel, Hugo J. Bellen",Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen on Human Erythrocytes,"PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170",10.1016/j.cyto.2013.04.005,2014,,,,1.0,,"repetitive bands, and background in gel panel",1,3/28/2017,,,,1,,9.0,0 0   ,PLOS ONE PLOS Computational Biology  PLOS Genetics PLOS ONE  ,Chinese Academy of Agricultural Sciences,8,"Department of Oncology, Faculty of Medicine",,,,,,,,"Seoul, South Korea",34.32,45.22
162,"Verity G. Kew, Jinxiang Yuan, Jeffery Meier, Matthew B. Reeves",Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response,"BioMed Research International, Volume 2013, Article ID 582526",PMID: 8675338,2008,JCM,,1.0,,,Duplicated set of lanes within the same panel,1,8/7/2015,,1.0,1.0,1,,66.0,2  2  8  2 ,PLOS ONE PLOS Medicine PLOS ONE PLOS ONE PLOS Genetics PLOS ONE PLOS Medicine PLOS Genetics PLOS ONE PLOS ONE PLOS ONE  ,Second Military Medical University,20,Department of Animal and Poultry Sciences,,,-95.395743,,272.0,,,"Memphis, TN, United States",46.87,69.64
163,"Gurbet Celik, Asli Semiz, Serdar Karakurt, Sevki Arslan, Orhan Adali, and Alaattin Sen",An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,"Nature, Vol 454, 7 August 2008, page 776",10.1002/ijc.27927,2014,,,1.0,1.0,,"multiple cases of shifted blots, duplicated bands within blots",1,1/14/2016,1.0,,,1,,, 1 9 8 0 0 2    0 ,PLOS ONE  ,Korea University College of Medicine,12,"Institute of Pharmacology, Toxicology and Pharmacy",,,,,,11.0,,"Taipei, Taiwan",65.94,54.7
164,"Sreedevi Avasarala, Fangfang Zhang, Guangliang Liu, Ruixue Wang, Steven D. London, Lucille London",Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,"PLOS Genetics, January 23, 2014DOI: 10.1371",10.1083/jcb.201201133,2009,,,,1.0,,"Duplicated blot panels, multiple cases",1,8/8/2016,,1.0,,1,,190.0,0 7  1 0 0 10  ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE ,Tottori University School                     of Medicine,15,"Department of Medicine, United Christian Hospital",,,-110.950815,25653.0,,,13%,"Houston, TX, United States",,64.48
165,"Inka Regine Weingaertner, Sarah Koutnik, Hermann Ammer",Bacillus anthracis Capsule Activates Caspase-1 and Induces Interleukin-1__ Release from differentiated THP-1 and Human Monocyte-Derived Dendritic Cells__,"PLOS One, February 2014 | Volume 9 | Issue 2 | e89546",10.1128/IAI.06230-11,2014,,,,1.0,,Possibly manipulated FACS images,1,9/16/2016,,1.0,,1,"Department of Laboratory Medicine, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China",0.0,5 0 1 0 0 1 3  ,PLOS ONE  PLOS ONE  PLOS ONE  PLOS ONE ,National Institute of Health,4,"Department of Neurology, The Agnes Ginges Center for Human Neurogenetics",,,,,1095.0,12.4,,,39.74,
166,"Min-Hee Cho, Hae-Jeong Ahn, Hyun-Joon Ha, Jungchan Park, Jeong-Hoon Chun, Bong-Su Kim, Hee-Bok Oh, and Gi-eun Rhie","Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm","BioMed Research International Volume 2013, Article ID 358945",10.1186/bcr3201,2014,,,,,,Duplicated actin blot,1,2/1/2016,,1.0,,1,,,0 0 0  ,PLOS ONE  ,University of North Carolina at Charlotte,20,"Department of Neurology, The Agnes Ginges Center for Human Neurogenetics",,,,,932.0,,,"Ljubljana, Slovenia",63.77,70.1
167,"Gong Yang, Imelda Mercado-Uribe, Asha S. Multani, Subrata Sen, Ie-Ming Shih, Kwong-Kwok Wong, David M. Gershenson, and Jinsong Liu",Preventive effect of caffeine and curcumin on hepato_ carcinogenesis in diethylnitrosamine_induced rats,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 1993-2000, 2013",10.1038/onc.2013.184,2012,,,,,,"Overlapping microscopy, duplicated blots, multiple cases",1,11/14/2016,,,1.0,1,,,0 5 2 6 0 0  ,  ,Baylor College of Medicine,5,"School of Dentistry, Chung Shan Medical University, Taichung 40201, Taiwan ; Department of Dentistry",,,,,,,3%,,34.32,26.15
168,"Prabuddha Dey, Monami Chakraborty, Maulik R. Kamdar, Mrinal K. Maiti","Drosophila Mgr, a Prefoldin subunit cooperating with von Hippel Lindau to regulate tubulin stability","Infect. Immun. 2012, 80(7):2558",10.1016/j.cyto.2008.12.015,2013,,,,,1,"Reused blot, shifted, other protein",1,,1.0,,1.0,1,,,3 1 2 1 1 1 ,PLOS ONE PLOS Genetics PLOS Computational Biology PLOS Neglected Tropical Diseases PLOS Pathogens  ,Indian Veterinary Research Institute,7,"School of Medicine, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan ; Department of Emergency Medicine, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan ; Department of Emergency Medicine",PhD,,,,,,,"Seoul, South Korea",36.75,48.52
169,"Paola Massari, Jay Gunawardana, Xiuping Liu, and Lee M. Wetzler",Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer,"PLOS One, April 2014 | Volume 9 | Issue 4 | e94830",10.1186/bcr3128,2014,,,,1.0,,Mirrored blot,1,12/2/2014,,1.0,1.0,1,,5.0,1 0 0 0 0 0 2 4 6  ,PLOS ONE PLOS Biology PLOS ONE ,IRCCS Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (I.R.S.T.),11,"Department of Pathophysiology, School of Pharmacy and Biochemistry",,,-95.395743,,,,14%,"Brighton, United Kingdom",64.06,62.33
170,"Fabio Sallustio, Grazia Serino, Vincenzo Costantino, Claudia Curci, Sharon N. Cox, Giuseppe DePalma, Francesco P. Schena",Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24,Cytokine 30 (2005) 319-327,10.1155/2014/272101,2013,IAI,1.0,,,,Multiple cases of shifted or rotated blot panels,1,11/14/2016,,1.0,,1,,14.0,0 5 1 4 0 0 0 0  1   ,PLOS ONE PLOS ONE PLOS ONE PLOS Medicine PLOS ONE ,Academy of Sciences of the Czech Republic,18,"Discipline of Microbiology and Immunology, School of Molecular and Biomedical Science",,44.56395,,,534.0,,,,44.06,
171,"Patrick C. Y. Woo, Susanna K. P. Lau, Beatrice H. L. Wong, Kwok-Hung Chan, Wai-Ting Hui, Grace S. W. Kwan, J. S. Malik Peiris, Robert B. Couch, and Kwok-Yung Yuen",Opposing Roles for Two Molecular Forms of Replication Protein A in Rad51-Rad54-Mediated DNA Recombination in Plasmodium falciparum,"PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343",10.1128/JCM.41.6.2341-2347.2003,2012,mBio,,1.0,1.0,,bands in gel appear to be spliced in,1,11/18/2014,,1.0,,1,,29.0,0 0 0 0 0 0 0 0 0 0 ,PLOS Biology  ,National Taiwan Normal University,10,"Anesthesia Department, the Second Affiliated Hospital, School of Medicine",PhD,,,,484.0,10.8,,"Portland, OR, United States",31.66,85.68
172,"Sawsan I. Kreydiyyeh, Christina Abou-Chahine, Randa Hilal-Dandan ",Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127",10.1371/journal.pone.0064904,2013,04April,,1.0,1.0,,duplicated microscopoy images,1,10/1/2015,,1.0,1.0,1,"Laboratoire Universitaire d'Antibiologie, Faculté de Médecine, Avenue Kennedy, 30900 Nîmes, France",75.0,0 0  0 0 0 0 0  ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE ,Medical School of Southeast University,3,Department of Biology,PhD in Oncology,,-79.947158,,,28.3,,,,36.93
173,"CC Jiang, A Croft, H-Y Tseng, ST Guo, L Jin, P Hersey, and XD Zhang",Decursin Isolated from Angelica gigas Nakai Rescues PC12 Cells from Amyloid __-Protein-Induced Neurotoxicity through Nrf2-Mediated Upregulation of Heme Oxygenase-1: Potential Roles of MAPK,Cytokine 44 (2008) 33ï¿½43,10.1128/IAI.73.3.1754ï¿½1763.2005,2003,,,,,1,Multiple cases of reused blot strips,1,12/10/2015,,1.0,,1,,,0 50 0 0 0 35 1 0 24 3 ,  PLOS Pathogens PLOS ONE  PLOS Pathogens PLOS ONE PLOS Genetics ,Baylor College of Medicine,8,"Department of Biochemistry, Institute of Medical Sciences","MD, MSc",,,325.0,,,,"Prague, Czech Republic",30.36,
174,"WEI YANG, XIAOYUAN WANG, WEI ZHENG, KEDONG LI, HAOFENG LIU, and YUEMING SUN",Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity,"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 640857",10.1371/journal.pone.0093563,2014,IAI,,,1.0,1,Overlapping microscopy images,1,8/7/2015,1.0,1.0,1.0,1,,,1 0 4 0 0 0 1 1 6 0 5 ,PLOS ONE PLOS Genetics PLOS ONE PLOS Genetics PLOS Biology PLOS Pathogens PLOS Computational Biology PLOS ONE PLOS Genetics PLOS Neglected Tropical Diseases PLOS ONE PLOS ONE PLOS Neglected Tropical Diseases PLOS Pathogens ,Chung Shan Medical University Hospital,6,Department of Biology,,,,,,22.8,11%,"Oakland, CA, United States",26.22,67.25
175,"Ari Kassardjian, Zeina Dakroub, Ola El Zein, Sawsan Ibrahim Kreydiyyeh",Interplay of mevalonate and Hippo pathways regulates RHAMM transcription via YAP to modulate breast cancer cell motility,"Infect. Immun. 2013, 81(9):3239. DOI: 10.1128/IAI.00552-13",10.1186/bcr3322,2013,JCM,1.0,1.0,1.0,,"duplicated FACS plots, one pair exact, other possibly altered, duplicated blot panels, flipped",1,11/19/2015,1.0,,,1,,,1  2 0 5 1 ,PLOS ONE PLOS Medicine PLOS Neglected Tropical Diseases PLOS Biology  ,Okayama University,10,Laboratoire Universitaire d'Antibiologie,,,,,,,,"Oakland, CA, United States",61.2,67.25
176,"Hong Yu, Yuhao Sun, Courtney Haycraft, Viswanathan Palanisamy, Keith L. Kirkwood",Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury,Cytokine 44 (2008) 33ï¿½43,10.1073/pnas.1211179110,2005,,1.0,,1.0,,"Duplicated FACS plots, multiple cases",1,11/14/2016,,1.0,1.0,1,,121.0,0 0  ,PLOS Pathogens PLOS ONE PLOS Genetics PLOS ONE PLOS ONE  ,Hyogo College of Medicine,3,Department of Oral and Molecular Microbiology,,,,,,,,"Sault Ste. Marie, Canada",63.85,68.34
