	Authors	Title	Citation	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	SUM  Completed	Labs	Lab Size	nPublications	Other Journals	University	Career Duration	Degree Area	Latitude	Longitude	UndergradStudentCount	ranking	students staff ratio	perc intl students	near_city	crime_index	safety_index
41	Apiruck Watthanasurorot, Netnapa Saelee, Amornrat Phongdara, Sittiruk Roytrakul, Pikul Jiravanichpaisal, Kenneth So_derhï¿½ll, Irene Sï¿½derhï¿½llGab	Astakine 2ï¿½the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans	PLOS Genetics, March 2013 | Volume 9 | Issue 3 | e1003361, doi:10.1371/journal.pgen.1003361	10.1371/journal.pgen.1003361	2013	03March				1	multiple cases of shifted blots, duplicated bands within blots	1	4/27/2015	1.0			1	Department of Comparative Physiology, Uppsala University, Uppsala, Sweden	28	       	       	Uppsala University	6	Department of Comparative Physiology				112.0	15.8	18%	Uppsala, Sweden	41.12	58.88
42	Dawn E. Watkins-Chow, Joanna Cooke, Ruth Pidsley, Andrew Edwards, Rebecca Slotkin, Karen E. Leeds, Raymond Mullen, Laura L. Baxter, Thomas G. Campbell, Marion C. Salzer, Laura Biondini, Gretchen Gibney, Franc _oise Phan Dinh Tuy, Jamel Chelly, H. Douglas Morris, Johannes Riegler, Mark F. Lythgoe, Ruth M. Arkell, Fabrizio Loreni, Jonathan Flint, William J. Pavan, David A. Keays	Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes	PLOS Genetics, January 2013 | Volume 9 | Issue 1 | e1003094	10.1371/journal.pgen.1003094	2013	01January		1.0			duplicated microscopy panels	1	11/19/2015		1.0		1	National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America	16	                      	                      	National Institutes of Health	13	National Human Genome Research Institute							Washington, DC, United States	58.71	41.29
43	Erica P. Homan, Caressa Lietman, Ingo Grafe, Jennifer Lennington, Roy Morello, Dobrawa Napierala, Ming-Ming Jiang, Elda M. Munivez, Brian Dawson, Terry K. Bertin, Yuqing Chen, Rhonald Lua, Olivier Lichtarge, John Hicks, Mary Ann Weis, David Eyre, Brendan H. L. Lee	Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues	PLOS Genetics, January 23, 2014DOI: 10.1371	10.1371/journal.pgen.1004121	2014	01January		1.0			duplicated western blot panels	1	6/3/2014		1.0		1	Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America	150	                 	                 	Baylor College of Medicine	9	Department of Molecular and Human Genetics	29.7106	-95.395743					Houston, TX, United States	63.77	36.23
44	Erica P. Homan, Caressa Lietman, Ingo Grafe, Jennifer Lennington, Roy Morello, Dobrawa Napierala, Ming-Ming Jiang, Elda M. Munivez, Brian Dawson, Terry K. Bertin, Yuqing Chen, Rhonald Lua, Olivier Lichtarge, John Hicks, Mary Ann Weis, David Eyre, Brendan H. L. Lee	Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues	PLOS Genetics, January 23, 2014DOI: 10.1371	10.1371/journal.pgen.1004121	2014	01January		1.0			duplicated western blot panels	1	6/3/2014		1.0		1	Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America	150	                 	                 	Baylor College of Medicine	9	Department of Molecular and Human Genetics	29.7106	-95.395743					Houston, TX, United States	63.77	36.23
45	Erica P. Homan, Caressa Lietman, Ingo Grafe, Jennifer Lennington, Roy Morello, Dobrawa Napierala, Ming-Ming Jiang, Elda M. Munivez, Brian Dawson, Terry K. Bertin, Yuqing Chen, Rhonald Lua, Olivier Lichtarge, John Hicks, Mary Ann Weis, David Eyre, Brendan H. L. Lee	Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues	PLOS Genetics, January 23, 2014DOI: 10.1371	10.1371/journal.pgen.1004121	2014	01January		1.0			duplicated western blot panels	1	6/3/2014		1.0		1	Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America	150	                 	                 	Baylor College of Medicine	9	Department of Molecular and Human Genetics	29.7106	-95.395743					Houston, TX, United States	63.77	36.23
46	Natalia Lopez-del Hoyo, Santiago Lopez-Begines, Jose Luis Rosa, Jeannie Chen, Ana Mendez	Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity	PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480	10.1371/journal.pgen.1004480	2014	07July		1.0			duplicated microscopy panels	1	10/17/2014		1.0		1	Bellvitge Biomedical Research Institute (IDIBELL), Barcelona, Spain	8	     	     	Bellvitge Biomedical Research Institute (IDIBELL)	0	Bellvitge Biomedical Research Institute (IDIBELL)									
47	Cathleen D. Valentine, Marc O. Anderson, Feroz R. Papa, Peter M. Haggie	X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis	PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576	10.1371/journal.ppat.1003576	2013	08August		1.0			Duplicated microscopy panels	1	5/19/2016		1.0		1	Department of Nephrology, University of California, San Francisco, San Francisco, California, United States of America	2	    	    	University of California	17	Department of Nephrology							Oakland, CA, United States	65.57	34.43
48	Cathleen D. Valentine, Marc O. Anderson, Feroz R. Papa, Peter M. Haggie	X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis	PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576	10.1371/journal.ppat.1003576	2013	08August		1.0			Duplicated microscopy panels	1	5/19/2016		1.0		1	Department of Nephrology, University of California, San Francisco, San Francisco, California, United States of America	2	    	    	University of California	17	Department of Nephrology							Oakland, CA, United States	65.57	34.43
49	Shipan Dai, Murugesan V. S. Rajaram, Heather M. Curry, Rachel Leander, Larry S. Schlesinger	Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis	PLOS Pathogens, January 2013 | Volume 9 | Issue 1 | e1003114	10.1371/journal.ppat.1003114	2013	01January				1	Duplicated or mirrored blot panels, or lanes within blots	1	3/9/2016		1.0		1	Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America	6	     	     	The Ohio State University	11	Center for Microbial Interface Biology, Department of Microbial Infection and Immunity							Columbus, OH, United States	43.42	56.58
50	Shipan Dai, Murugesan V. S. Rajaram, Heather M. Curry, Rachel Leander, Larry S. Schlesinger	Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis	PLOS Pathogens, January 2013 | Volume 9 | Issue 1 | e1003114	10.1371/journal.ppat.1003114	2013	01January				1	Duplicated or mirrored blot panels, or lanes within blots	1	3/9/2016		1.0		1	Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America	6	     	     	The Ohio State University	11	Center for Microbial Interface Biology, Department of Microbial Infection and Immunity							Columbus, OH, United States	43.42	56.58
51	Vicente Ramï¿½rez,  Ana Lï¿½pez, Brigitte Mauch-Mani, Ma Josï¿½ Gil, Pablo Vera_	An Extracellular Subtilase Switch for Immune Priming in Arabidopsis	PLOS Pathogens, June 2013 | Volume 9 | Issue 6 | e1003445	10.1371/journal.ppat.1003445	2013	06June			1.0		Duplicated/stretched images of a leaf, duplicated gel panels	1	11/2/2016		1.0		1	Instituto de Biología Molecular y Celular de Plantas, Universidad Politécnica de Valencia-C.S.I.C, Ciudad Politécnica de la Innovación, Valencia, Spain	14	     	     	Universidad Politécnica de Valencia-C.S.I.C	8	Instituto de Biología Molecular y Celular de Plantas									
52	Haitao Wei, Song Wang, Qinghuang Chen, Yuhai Chen, Xiaojuan Chi, Lianfeng Zhang, Shile Huang, George F. Gao, Ji-Long Chen	Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection	PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003845	10.1371/journal.ppat.1003845	2014	01January			1.0		Duplicated blot panels, shifted	1	1/14/2016		1.0		1	CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China	121	         	         	Chinese Academy of Sciences	12	CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology							Beijing, China	33.36	66.64
53	Haitao Wei, Song Wang, Qinghuang Chen, Yuhai Chen, Xiaojuan Chi, Lianfeng Zhang, Shile Huang, George F. Gao, Ji-Long Chen	Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection	PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003845	10.1371/journal.ppat.1003845	2014	01January			1.0		Duplicated blot panels, shifted	1	1/14/2016		1.0		1	CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China	121	         	         	Chinese Academy of Sciences	12	CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology							Beijing, China	33.36	66.64
54	Meleri Jones, Inga R. Dry, Dan Frampton, Manuraj Singh, Ravinder K. Kanda, Michael B. Yee, Paul Kellam, Michael Hollinshead, Paul R. Kinchington, Edel A. Oï¿½Toole, Judith Breuer 	RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation	PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003896	10.1371/journal.ppat.1003896	2014	01January			1.0		Duplicated shifted blot panel	1	7/22/2014		1.0		1	Division of Infection and Immunity, University College London, London, United Kingdom	75	           	           	University College London	17	Division of Infection and Immunity							London, United Kingdom	53.25	46.75
55	Miti Jearaphunt, Chadanat Noonin, Pikul Jiravanichpaisal, Seiko Nakamura, Anchalee Tassanakajon, Irene So_derhï¿½ll, Kenneth Sï¿½derhï¿½llati	Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity	PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059	10.1371/journal.ppat.1004059	2014	04April		1.0			Duplicated microscopy panels	1	5/20/2016		1.0		1	Department of Comparative Physiology, Uppsala University, Uppsala, Sweden	28	       	       	Uppsala University	7	Department of Comparative Physiology				112.0	15.8	18%	Uppsala, Sweden	41.12	58.88
56	Miti Jearaphunt, Chadanat Noonin, Pikul Jiravanichpaisal, Seiko Nakamura, Anchalee Tassanakajon, Irene So_derhï¿½ll, Kenneth Sï¿½derhï¿½llati	Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity	PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059	10.1371/journal.ppat.1004059	2014	04April		1.0			Duplicated microscopy panels	1	5/20/2016		1.0		1	Department of Comparative Physiology, Uppsala University, Uppsala, Sweden	28	       	       	Uppsala University	7	Department of Comparative Physiology				112.0	15.8	18%	Uppsala, Sweden	41.12	58.88
57	Niyas Kudukkil Pulloor, Sajith Nair, Aleksandar D. Kostic, Pradeep Bist, Jeremy D. Weaver, Andrew M. Riley, Richa Tyagi, Pradeep D. Uchil, John D. York, Solomon H. Snyder, Adolfo Garcï¿½__a-Sastre, Barry V. L. Potter, Rongtuan Lin, Stephen B. Shears, Ramnik J. Xavier, Manoj N. Krishnan	Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response	PLOS Pathogens, February 2014 | Volume 10 | Issue 2 | e1003981	10.1371/journal.ppat.1003981	2014	02February			1.0		Duplicated, and shifted western blot panels	1	10/23/2014		1.0		1	Program on Emerging Infectious Diseases, DUKE-NUS Graduate Medical School, Singapore	4	                	                	DUKE-NUS Graduate Medical School	3	Program on Emerging Infectious Diseases							Bologna, Italy	45.77	54.23
58	Verity G. Kew, Jinxiang Yuan, Jeffery Meier, Matthew B. Reeves	Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency	PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195	10.1371/journal.ppat.1004195	2014	06June			1.0		Rotated western blot	1	9/5/2014		1.0		1	Department of Medicine, Addenbrooke's Hospital, University of Cambridge, Cambridge, United Kingdom	11	    	    	University of Cambridge	6	Department of Medicine, Addenbrooke's Hospital				6.0	11.0	38%	Cambridge, United Kingdom	30.18	69.82
59	Verity G. Kew, Jinxiang Yuan, Jeffery Meier, Matthew B. Reeves	Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency	PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195	10.1371/journal.ppat.1004195	2014	06June			1.0		Rotated western blot	1	9/5/2014		1.0		1	Department of Medicine, Addenbrooke's Hospital, University of Cambridge, Cambridge, United Kingdom	11	    	    	University of Cambridge	6	Department of Medicine, Addenbrooke's Hospital				6.0	11.0	38%	Cambridge, United Kingdom	30.18	69.82
60	Verity G. Kew, Jinxiang Yuan, Jeffery Meier, Matthew B. Reeves	Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency	PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195	10.1371/journal.ppat.1004195	2014	06June			1.0		Rotated western blot	1	9/5/2014		1.0		1	Department of Medicine, Addenbrooke's Hospital, University of Cambridge, Cambridge, United Kingdom	11	    	    	University of Cambridge	6	Department of Medicine, Addenbrooke's Hospital				6.0	11.0	38%	Cambridge, United Kingdom	30.18	69.82
61	Michelle Khai Khun Yap, Nget Hong Tan, Si Mui Sim, Shin Yee Fung, Choo Hock Tan	Pharmacokinetics of Naja sumatrana (Equatorial Spitting Cobra) Venom and Its Major Toxins in Experimentally Envenomed Rabbits	PLOS Neglected Tropical Diseases June 2014 | Volume 8 | Issue 6 | e28901	10.1371/journal.pntd.0002890	2014	01January				1	duplicated, stretched blot panels with duplicated area within blot	1	9/30/2014		1.0		1	CENAR and Department of Molecular Medicine, Faculty of Medicine, University of Malaya, Kuala Lumpur, Malaysia	5	     	     	University of Malaya	8	CENAR and Department of Molecular Medicine, Faculty of Medicine				319.0	8.3	20%	Petaling Jaya, Malaysia	55.53	44.47
62	Jianming Chen, Julian I. Rood, and Bruce A. McClane	Epsilon-Toxin Production by Clostridium perfringens Type D Strain CN3718 Is Dependent upon the agr Operon but Not the VirS/VirR Two-Component Regulatory System	mBio 2(6):  2011	10.1128/mBio.00275-11	2011	mBio			1.0		Overlapping microscopy images, multiple times	1	1/27/2015		1.0		1	Department of Microbiology and Molecular Genetics, University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania, USA	0	   	   	University of Pittsburgh School of Medicine	13	Department of Microbiology and Molecular Genetics									
63	Doblin Sandai, Yin Zhikang, Laura Selway, David Stead, Janet Walker, Michelle D. Leach, Iryna Bohovych, Iuliana V. Ene, Stavroula Kastora, Susan Budge, Carol A. Munro, Frank C. Odds, Neil A. R. Gow, and Alistair J. P. Brown	The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans	mBio 3(6): 2012	10.1128/mBio.00495-12	2012	mBio		1.0			Duplicated western blots	1	1/20/2015		1.0		1	School of Medical Sciences, University of Aberdeen, Institute of Medical Sciences, Foresterhill, Aberdeen, United Kingdom	8	              	              	University of Aberdeen	9	School of Medical Sciences				178.0	16.6	42%	Aberdeen, United Kingdom	35.52	64.48
64	Anusha M. Gopalakrishnan, and Nirbhay Kumar	Opposing Roles for Two Molecular Forms of Replication Protein A in Rad51-Rad54-Mediated DNA Recombination in Plasmodium falciparum	mBio 4(3): 2013	10.1128/mBio.00252-13	2013	mBio			1.0		Duplicated agarose gel panels	1	2/3/2015		1.0		1	Department of Tropical Medicine, Tulane University, School of Public Health and Tropical Medicine, New Orleans, Louisiana, USA	0	  	  	Tulane University	10	Department of Tropical Medicine				346.0	9.1	11%	New Orleans, LA, United States	65.64	34.36
65	Christopher W. Cutler, Paul I. Eke, Caroline A. Genco, Thomas E. Van Dyke, and Roland R. Arnold	Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide	Infect. Immun. June 1996, p. 2282ï¿½2287 Vol. 64, No. 6	PMID: 8675338	1996	IAI				1	Cut, and duplicated SDS PAGE parts	1				1.0	1			     	     	Baylor College of Dentistry	10	Department of Biomedical Sciences and Periodontics							Saint Louis, MO, United States	70.56	29.44
66	Brenda A. Wilson, Virgilio G. Ponferrada, Jefferson E. Vallence, and Mengfei Ho	Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus	Infection, and Immunity, Jan. 1999, p. 80ï¿½87 Vol. 67, No. 1	PMID: 9864199	1999	IAI		1.0			Identical microscopy panels, might be error	1				1.0	1			    	    	Wright State University School of Medicine	32	Department of Biochemistry and Molecular Biology									
67	S. Jeyaseelan, S.L. Hsuan, M.S. Kannan, B. Walcheck, J.F. Wang, M.E. Kehrli, E.T. Lally, G.C. Sieck, and S.K. Maheswaran	Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes	Infection, and Immunity, Jan. 2000, p. 72ï¿½79 Vol. 68, No. 1	10.1128/IAI.68.1.72-79.2000	2000	IAI			1.0		Multiple cases of shifted or duplicated blot panels	1				1.0	1			         	         	University of Minnesota	13	Department of Veterinary PathoBiology, College of Veterinary Medicine				86.0	12.4	11%	Minneapolis, MN, United States	54.78	45.22
68	S. Jeyaseelan, S.L. Hsuan, M.S. Kannan, B. Walcheck, J.F. Wang, M.E. Kehrli, E.T. Lally, G.C. Sieck, and S.K. Maheswaran	Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes	Infection, and Immunity, Jan. 2000, p. 72ï¿½79 Vol. 68, No. 1	10.1128/IAI.68.1.72-79.2000	2000	IAI			1.0		Multiple cases of shifted or duplicated blot panels	1				1.0	1			         	         	University of Minnesota	13	Department of Veterinary PathoBiology, College of Veterinary Medicine				86.0	12.4	11%	Minneapolis, MN, United States	54.78	45.22
69	S. Jeyaseelan, S.L. Hsuan, M.S. Kannan, B. Walcheck, J.F. Wang, M.E. Kehrli, E.T. Lally, G.C. Sieck, and S.K. Maheswaran	Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes	Infection, and Immunity, Jan. 2000, p. 72ï¿½79 Vol. 68, No. 1	10.1128/IAI.68.1.72-79.2000	2000	IAI			1.0		Multiple cases of shifted or duplicated blot panels	1				1.0	1			         	         	University of Minnesota	13	Department of Veterinary PathoBiology, College of Veterinary Medicine				86.0	12.4	11%	Minneapolis, MN, United States	54.78	45.22
70	S. Jeyaseelan, M.S. Kannan, R.E. Briggs, P. Thumbikat, and S.K. Maheswaran	Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects	Infection, and Immunity, Oct. 2001, p. 6131ï¿½6139 Vol. 69, No. 10	10.1128/IAI.69.10.6131ï¿½6139.2001	2001	IAI				1	Multiple cases of shifted or duplicated blot panels	1				1.0	1			     	     	University of Minnesota	14	Department of Veterinary PathoBiology, College of Veterinary Medicine				86.0	12.4	11%	Minneapolis, MN, United States	54.78	45.22
71	S. Jeyaseelan, M.S. Kannan, R.E. Briggs, P. Thumbikat, and S.K. Maheswaran	Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects	Infection, and Immunity, Oct. 2001, p. 6131ï¿½6139 Vol. 69, No. 10	10.1128/IAI.69.10.6131ï¿½6139.2001	2001	IAI				1	Multiple cases of shifted or duplicated blot panels	1				1.0	1			     	     	University of Minnesota	14	Department of Veterinary PathoBiology, College of Veterinary Medicine				86.0	12.4	11%	Minneapolis, MN, United States	54.78	45.22
72	S. Jeyaseelan, M.S. Kannan, R.E. Briggs, P. Thumbikat, and S.K. Maheswaran	Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects	Infection, and Immunity, Oct. 2001, p. 6131ï¿½6139 Vol. 69, No. 10	10.1128/IAI.69.10.6131ï¿½6139.2001	2001	IAI				1	Multiple cases of shifted or duplicated blot panels	1				1.0	1			     	     	University of Minnesota	14	Department of Veterinary PathoBiology, College of Veterinary Medicine				86.0	12.4	11%	Minneapolis, MN, United States	54.78	45.22
73	Nobuo Okahashi, Atsuo Sakurai, Ichiro Nakagawa, Taku Fujiwara, Shigetada Kawabata, Atsuo Amano, and Shigeyuki Hamada	Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells	Infect. Immun. Feb. 2003, p. 948ï¿½955 Vol. 71, No. 2	10.1128/IAI.71.2.948-955.2003	2003	IAI		1.0			duplicated blots, two sets	1				1.0	1			       	       	Osaka University Graduate School of Dentistry	20	Department of Oral and Molecular Microbiology									
74	Stephanie Dahan, Guillaume Dalmasso, Veronique Imbert, Jean-Francois Peyron, Patrick Rampal, and Dorota Czerucka	Saccharomyces boulardii Interferes with Enterohemorrhagic Escherichia coli-Induced Signaling Pathways in T84 Cells	Infection and Immunity 73: Feb. 2003, p. 766ï¿½773	10.1128/IAI.71.2.766ï¿½773.2003	2003	IAI			1.0		multiple cases of duplicated bands within same blot	CHECK				1.0	1			      	      	Université de Nice-Sophia Antipolis	18	Laboratoire de Gastroentérologie et Nutrition, Faculté de Médecine							Nice, France	58.85	41.15
75	Laura W. Schrum, Ian Marriott, Betsy R. Butler, Elaine K. Thomas, Michael C. Hudson, and Kenneth L. Bost	Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast	Infect. Immun. Mar. 2003, p. 1209ï¿½1216	10.1128/IAI.71.3.1209ï¿½1216.2003	2003	IAI		1.0			duplicated microscopoy images	CHECK				1.0	1			      	      	University of North Carolina at Charlotte	13	Department of Biology	35.306022	-80.730919	23638.0				Charlotte, NC, United States	45.30	54.70
76	Sen Rong Yan, Gefei Qing, David M. Byers, Andrew W. Stadnyk, Walla Al-Hertani, and Robert Bortolussi	Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide	Infect. Immun. Mar. 2004, p. 1223ï¿½1229 Vol. 72, No. 3	10.1128/IAI.72.3.1223-1229.2004	2004	IAI			1.0		Mirrored blot	1				1.0	1	Departments of Pediatrics	0	      	      	Dalhousie University	6	Department of Pediatrics				258.0	13.3	26%	Halifax, Canada	40.76	59.24
77	Peter L. W. Yun, Arthur A. Decarlo, Cheryl C. Chapple, and Neil Hunter	Functional Implication of the Hydrolysis of Platelet Endothelial Cell Adhesion Molecule 1 (CD31) by Gingipains of Porphyromonas gingivalis for the Pathology of Periodontal Disease	Infect. Immun. Mar. 2005, p. 1386ï¿½1398 Vol. 73, No. 3	10.1128/IAI.73.3.1386-1398.2005	2005	IAI			1.0		Overlapping microscopy panels	1				1.0	1	Institute of Dental Research, Westmead Millennium Institute and Centre for Oral Health, Westmead Hospital, Sydney, New South Wales, Australia	0	    	    	Westmead Millennium Institute and Centre for Oral Health	20	Institute of Dental Research									
78	Samithamby Jeyaseelan, Hong Wei Chu, Scott K. Young, Mason W. Freeman, and G. Scott Worthen	Distinct Roles of Pattern Recognition Receptors CD14 and Toll-Like Receptor 4 in Acute Lung Injury	Infection, and Immunity, Mar. 2005, p. 1754ï¿½1763 Vol. 73, No. 3	10.1128/IAI.73.3.1754ï¿½1763.2005	2005	IAI			1.0		Overlapping microscopy panels	1				1.0	1			     	     	National Jewish Medical and Research Center	10	Division of Respiratory Infections, Department of Medicine							Denver, CO, United States	45.01	54.99
79	Ellen J. Beswick, Irina V. Pinchuk, Kyle Minch, Giovanni Suarez, Johanna C. Sierra, Yoshio Yamaoka, and Victor E. Reyes	The Helicobacter pylori Urease B Subunit Binds to CD74 on Gastric Epithelial Cells and Induces NF-__B Activation and Interleukin-8 Production	Infect. Immun. Feb. 2006, p. 1148ï¿½1155 Vol. 74, No. 2	10.1128/IAI.74.2.1148-1155.2006	2006	IAI		1.0			Duplicated blot panel within other panel	1				1.0	1			       	       	University of Texas Medical Branch	2	Department of Pediatrics							Memphis, TN, United States	73.85	26.15
80	Ellen J. Beswick, Irina V. Pinchuk, Kyle Minch, Giovanni Suarez, Johanna C. Sierra, Yoshio Yamaoka, and Victor E. Reyes	The Helicobacter pylori Urease B Subunit Binds to CD74 on Gastric Epithelial Cells and Induces NF-__B Activation and Interleukin-8 Production	Infect. Immun. Feb. 2006, p. 1148ï¿½1155 Vol. 74, No. 2	10.1128/IAI.74.2.1148-1155.2006	2006	IAI		1.0			Duplicated blot panel within other panel	1				1.0	1			       	       	University of Texas Medical Branch	2	Department of Pediatrics							Memphis, TN, United States	73.85	26.15
81	Catherine J. Hunter, Monica Williams, Mikael Petrosyan, Yigit Guner, Rahul Mittal, Dennis Mock, Jeffrey S. Upperman, Henri R. Ford, and Nemani V. Prasadarao	Lactobacillus bulgaricus Prevents Intestinal Epithelial Cell Injury Caused by Enterobacter sakazakii-Induced Nitric Oxide both In Vitro and in the Newborn Rat Model of Necrotizing Enterocolitis__	Infect. Immun. Mar. 2009, p. 1031ï¿½1043 Vol. 77, No. 3	10.1128/IAI.01192-08	2009	IAI			1.0		Overlapping microscopy, mirrored blot panels, multiple cases	1				1.0	1	Department of Surgery	0	         	         	University of Southern California	6	Department of Surgery, The Saban Research Institute, Children's Hospital Los Angeles, and Keck School of Medicine	34.021281	-118.284169	19908.0	53.0	13.0	23%	Los Angeles, CA, United States	49.75	50.25
82	Suleyman Felek, and Eric S. Krukonis	The Yersinia pestis Ail Protein Mediates Binding and Yop Delivery to Host Cells Required for Plague Virulence__	Infection, and Immunity, Feb. 2009, p. 825ï¿½836 Vol. 77, No. 2	10.1128/IAI.00913-08	2009	IAI			1.0		Mirrored microscopy image	1				1.0	1	Department of Biologic and Materials Sciences, University of Michigan School of Dentistry	0	  	  	University of Michigan School of Medicine	8	Department of Biologic and Materials Sciences, University of Michigan School of Dentistry									
83	Paola Massari, Jay Gunawardana, Xiuping Liu, and Lee M. Wetzler	Meningococcal Porin PorB Prevents Cellular Apoptosis in a Toll-Like Receptor 2- and NF-__B-Independent Manner__	Infect. Immun. Mar. 2010, p. 994ï¿½1003 Vol. 78, No. 3	10.1128/IAI.00156-09	2010	IAI			1.0		Duplicated blot panels, different exposure	1	7/8/2015		1.0		1	Evans BioMedical Research Center, Section of Infectious Diseases, Department of Medicine, Boston University School of Medicine, Boston, Massachusetts 02118	0	    	    	Boston University School of Medicine	5	Evans BioMedical Research Center, Section of Infectious Diseases, Department of Medicine							Boston, MA, United States	36.91	63.09
